For group number 0
145 30 161 36 17.08800749063506 
136 24 145 30 10.816653826391969 
120 32 136 24 17.88854381999832 
118 25 120 32 7.280109889280518 
117 43 120 32 11.40175425099138 
143 57 162 38 26.870057685088806 
140 60 143 57 4.242640687119285 
131 88 140 60 29.410882339705484 
119 86 131 88 12.165525060596439 
110 76 119 86 13.45362404707371 
